0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
36314,53,17,2,0,0.00038909912109375,0.00038909912109375,0.0,0.0,0.00038909912109375,0.00038909912109375,0.00038909912109375,0.00038909912109375,0,0,95.0,0,0.0,0,95,0,95,0,190,0,0,0,0,0,0,0,0
53,36314,17,2,0,0.02149510383605957,0.02149510383605957,0.0,0.0,0.02149510383605957,0.02149510383605957,0.02149510383605957,0.02149510383605957,0,0,152.0,0,6.0,0,146,0,158,0,304,0,0,0,0,0,0,0,0
53568,443,6,21,0,8.559169697761536,8.559169697761536,20.317826294716518,20.317826294716518,0.00011897087097167969,0.00011897087097167969,58.147140979766846,58.147140979766846,0,0,110.04761904761905,0,69.19363870463967,0,66,0,318,0,2311,0,0,0,0,0,0,0,0
443,53568,6,22,0,8.149382341475714,8.149382341475714,19.93119308195698,19.93119308195698,0.0,0.0,58.23495411872864,58.23495411872864,0,0,491.45454545454544,0,824.7709724673833,0,66,0,2866,0,10812,0,0,0,0,0,0,0,0
40468,53,17,2,0,0.0004138946533203125,0.0004138946533203125,0.0,0.0,0.0004138946533203125,0.0004138946533203125,0.0004138946533203125,0.0004138946533203125,0,0,75.0,0,0.0,0,75,0,75,0,150,0,0,0,0,0,0,0,0
53,40468,17,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,236.0,0,24.0,0,212,0,260,0,472,0,0,0,0,0,0,0,0
32962,443,6,43,0,4.902184094701495,4.902184094701495,14.522883556283407,14.522883556283407,9.989738464355469e-05,9.989738464355469e-05,58.3583619594574,58.3583619594574,0,0,272.6279069767442,0,363.6537468434688,0,54,0,1966,0,11723,0,0,0,0,0,0,0,0
443,32962,6,37,0,5.718575888209873,5.718575888209873,15.59466245195694,15.59466245195694,0.0,0.0,58.42629599571228,58.42629599571228,0,0,331.4864864864865,0,692.8017391847286,0,66,0,2962,0,12265,0,0,0,0,0,0,0,0
58251,53,17,2,0,0.0007200241088867188,0.0007200241088867188,0.0,0.0,0.0007200241088867188,0.0007200241088867188,0.0007200241088867188,0.0007200241088867188,0,0,97.0,0,0.0,0,97,0,97,0,194,0,0,0,0,0,0,0,0
53,58251,17,2,0,9.5367431640625e-07,9.5367431640625e-07,0.0,0.0,9.5367431640625e-07,9.5367431640625e-07,9.5367431640625e-07,9.5367431640625e-07,0,0,280.0,0,24.0,0,256,0,304,0,560,0,0,0,0,0,0,0,0
32964,443,6,23,0,7.775478092106906,7.775478092106906,19.540057446307998,19.540057446307998,0.0001518726348876953,0.0001518726348876953,58.26056504249573,58.26056504249573,0,0,101.82608695652173,0,61.01721223585945,0,54,0,288,0,2342,0,0,0,0,0,0,0,0
443,32964,6,23,0,7.774486444213173,7.774486444213173,19.548699460248166,19.548699460248166,0.0,0.0,58.279922008514404,58.279922008514404,0,0,280.04347826086956,0,593.9427931946828,0,66,0,2962,0,6441,0,0,0,0,0,0,0,0
54352,53,17,2,0,0.0006649494171142578,0.0006649494171142578,0.0,0.0,0.0006649494171142578,0.0006649494171142578,0.0006649494171142578,0.0006649494171142578,0,0,85.0,0,0.0,0,85,0,85,0,170,0,0,0,0,0,0,0,0
53,54352,17,2,0,1.1920928955078125e-06,1.1920928955078125e-06,0.0,0.0,1.1920928955078125e-06,1.1920928955078125e-06,1.1920928955078125e-06,1.1920928955078125e-06,0,0,105.5,0,20.5,0,85,0,126,0,211,0,0,0,0,0,0,0,0
50048,443,6,16,0,11.391868797938029,11.391868797938029,22.750330454996327,22.750330454996327,0.00010704994201660156,0.00010704994201660156,58.11674094200134,58.11674094200134,0,0,206.375,0,457.68041183231776,0,66,0,1976,0,3302,0,0,0,0,0,0,0,0
32978,443,6,15,0,0.014283061027526855,0.014283061027526855,0.022514904678482488,0.022514904678482488,9.894371032714844e-05,9.894371032714844e-05,0.08482694625854492,0.08482694625854492,0,0,203.0,0,478.19312695465067,0,54,0,1988,0,3045,0,0,0,0,0,0,0,0
443,50048,6,13,0,14.236369490623474,14.236369490623474,24.64519948721154,24.64519948721154,0.0,0.0,58.187840938568115,58.187840938568115,0,0,360.0,0,743.075314538791,0,66,0,2866,0,4680,0,0,0,0,0,0,0,0
443,32978,6,12,0,0.015585552562366833,0.015585552562366833,0.02704275397210123,0.02704275397210123,0.0,0.0,0.08503508567810059,0.08503508567810059,0,0,451.4166666666667,0,877.1959547647011,0,66,0,2962,0,5417,0,0,0,0,0,0,0,0
50058,443,6,12,0,27.366287621584807,27.366287621584807,86.21034829732123,86.21034829732123,0.0006158351898193359,0.0006158351898193359,299.9871208667755,299.9871208667755,0,0,345.5833333333333,0,464.64313516456434,0,66,0,1316,0,4147,0,0,0,0,0,0,0,0
